0,1,2,3,id,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
As of March 13th ,2014, the booklet had been downloaded over 18,300 times and counting .,12834217_1.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thank you in advance. : ) Download the youtube `` description box '' info text file below @ http://www.mediafire.com/download/dqhn1czprr17o21/Booklet-Description-Box _ Info.txt,,,,12834217_10.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,
In order to help increase the booklets downloads , it would be great if all Stormfronters who had YouTube accounts , could display the following text in the description boxes of their uploaded YouTube videos .,,12834217_2.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,
( Simply copy and paste the following text into your YouTube videos description boxes. ),,,,12834217_3.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,
Click below for a FREE download of a colorfully illustrated 132 page e-book on the Zionist-engineered INTENTIONAL destruction of Western civilization .,,,,12834217_4.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,
Click on the `` DOWNLOAD ( 7.42 MB ) '' green banner link .,,,,12834217_5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,
Booklet updated on Feb. 14th , 2014 .,,,12834217_6.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,
( Now with over 18,300 Downloads. ),,,12834217_7.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDF file : http://www.mediafire.com/download/7p3p3goadvvqvsf/WNDebateBooklet_2-14-14.pdfMSWordfile:http://www.mediafire.com/download/psezkkk4d6a3wt1/WNDebateBooklet _ 2-14-14.docx Watch the 10 hour video version of `` The Zionist Attack on Western Civilization '' @ http://trutube.tv/video/14247/The-Zionist-Attack-on-Western-Civilization-Pages-1-33-Part-1-of-4-Banned-from-YouTubeNotepadPromotionalYouTubeComment:http://www.mediafire.com/download/96fg6ft02lyfruz/Booklet _ White _ YT _ Comment _ ( Hyperlinked ) .txt http://www.mediafire.com/download/zcn3wozjbwnezms/Booklet-White-YT-Comment- ( Hyperlinked-Back-Up % 5D.txt http://www.mediafire.com/download/9uyudq1yuxu1dur/Booklet+Comment+%28Firefox%29.txt2minutepromotionalBOOKLETvideo@http://www.youtube.com/watch ? v = _ 8hg254ALpM Are you interested in helping spread the booklet download link across the world ?,,,,12834217_8.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,
Then why not simply copy this text ( & links ) and paste it into the description box of your YouTube videos ?,,,,12834217_9.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,
As of December 31st , 2013 at about 8 AM PST , the booklet had been downloaded 16,270 times and counting .,12834278_1.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,
In order to help increase the booklets downloads , it would be great if all Stormfronters who had YouTube accounts , could display the following text in the description boxes of their uploaded YouTube videos .,,12834278_2.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,
Click below for a FREE download of a colorfully illustrated 132 page e-book on the Zionist-engineered INTENTIONAL destruction of Western civilization .,,,,12834278_3.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,
Click on the `` DOWNLOAD ( 7.39 MB ) '' link .,,,,12834278_4.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,
Booklet updated on Dec. 9th , 2013 .,,,12834278_5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,
( Now over 16,000 Downloads ! ),,,12834278_6.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,
